苹果园,39.9263210655,116.1780710046
古城,39.9075272298,116.1905462972
八角游乐园,39.9074188373,116.2127789432
八宝山,39.9074153403,116.2356998804
玉泉路,39.9073850195,116.2530039378
五棵松,39.9074802872,116.2740271855
万寿路,39.9074607886,116.2951152798
公主坟,39.907602596,116.3101392186
军事博物馆,39.9075858863,116.3227048382
木樨地,39.9074462025,116.3374587176
南礼士路,39.9071935728,116.3526192326
复兴门,39.9072395728,116.3571602326
西单,39.9072033377,116.375523371
天安门西,39.9074220566,116.3916571279
天安门东,39.9077386842,116.4014561969
王府井,39.9081622514,116.4113689553
东单,39.9084318085,116.4187689323
建国门,39.9086148059,116.4350433686
永安里,39.9085712211,116.4504816541
国贸,39.908773619,116.4609210689
大望路,39.9086638843,116.4768518808
四惠,39.9087615108,116.4954963289
四惠东,39.9086135974,116.5159786226
西直门,39.9406530119,116.3548549808
车公庄,39.9325695913,116.3552512821
阜成门,39.9237407102,116.356233797
长椿街,39.8993926244,116.3633667784
宣武门,39.8997553376,116.3743703711
和平门,39.9000872583,116.3841963461
前门,39.9001800566,116.3978831279
崇文门,39.9007172514,116.4180119553
北京站,39.9050548085,116.4271279323
朝阳门,39.9246671137,116.4341142719
东四十条,39.9339590225,116.4341177353
东直门,39.9420084638,116.4349347801
雍和宫,39.9488808702,116.4166989787
安定门,39.9491032563,116.4082082781
鼓楼大街,39.9483765988,116.3937317108
积水潭,39.9486417231,116.3727221965
安河桥北,40.0123025826,116.2700291895
北宫门,40.0023217798,116.2775811592
西苑,39.9984728244,116.2916389036
圆明园,39.9995521643,116.3093623252
北京大学东门,39.9920917869,116.3156872603
中关村,39.9840428721,116.316491525
海淀黄庄,39.9759545252,116.317781067
人民大学,39.9670126381,116.3214758606
魏公村,39.9577033813,116.323270854
国家图书馆,39.943113629,116.3253026191
动物园,39.939320336,116.3394781915
新街口,39.9406347482,116.3676022947
平安里,39.9331423161,116.3721764818
西四,39.9239144501,116.3734656164
灵境胡同,39.9160130195,116.3737535522
菜市口,39.889242691,116.3742540904
陶然亭,39.8784903078,116.3744025079
北京南站,39.8649306723,116.3789663572
马家堡,39.8530689378,116.3713894317
角门西,39.8458028674,116.3711603888
公益西桥,39.8369298066,116.370841348
天通苑北,40.0833610899,116.4129591698
天通苑,40.0752461317,116.4128127661
天通苑南,40.0665193088,116.4127015257
立水桥,40.0530131522,116.411866824
立水桥南,40.0419122529,116.4145653407
北苑路北,40.0305887842,116.4181069281
大屯路东,40.003367566,116.4181264054
惠新西街北口,39.9879082801,116.4170870554
惠新西街南口,39.9770362063,116.4176027916
和平西桥,39.968265839,116.4180363798
和平里北街,39.9586831933,116.4185819791
北新桥,39.9408787632,116.416885466
张自忠路,39.9336825973,116.4171710352
东四,39.9244154258,116.4169965487
灯市口,39.9173699644,116.4177498595
磁器口,39.893263963,116.4195466702
天坛东门,39.8824201507,116.4208973404
蒲黄榆,39.8656131224,116.4223953046
刘家窑,39.8576199232,116.42207379
宋家庄,39.8458678112,116.4284323991
海淀五路居,39.9322555613,116.2763595042
慈寿寺,39.9330291129,116.2942561607
花园桥,39.9324797937,116.3110213371
白石桥南,39.9326460499,116.3254425408
车公庄西,39.932394336,116.3440271915
北海北,39.933222247,116.386481113
南锣鼓巷,39.9335071155,116.4033073116
东大桥,39.9229773901,116.451657549
呼家楼,39.9233237722,116.4616479868
金台路,39.9233168743,116.4783424717
十里堡,39.9229936953,116.502101169
青年路,39.9231438213,116.517479368
褡裢坡,39.9240943272,116.5636524646
黄渠,39.9242827484,116.5783185569
常营,39.9255870873,116.5989273697
草房,39.9245657867,116.6160872049
物资学院路,39.9267434303,116.6391496915
通州北关,39.9185991845,116.6615631541
通运门,39.9085324601,116.6759459498
北运河西,39.9014539364,116.6879039229
北运河东,39.9017899854,116.7093629506
郝家府,39.9035059854,116.7176119506
东夏园,39.9033727067,116.7344166141
潞城,39.9026201263,116.748375672
北京西站,39.8949170327,116.3211936124
湾子,39.8901420327,116.3277826124
达官营,39.8899896337,116.3354224926
广安门内,39.8896376456,116.3580159865
虎坊桥,39.889413722,116.3842176894
珠市口,39.89131351,116.3981728319
桥湾,39.8926571255,116.408497906
广渠门内,39.8937229655,116.4343954853
广渠门外,39.8936138345,116.4491800717
双井,39.8935220707,116.461842565
九龙山,39.8937620747,116.4781126381
大郊亭,39.8931507309,116.4881928469
百子湾,39.8928339672,116.4973627908
化工,39.8869691756,116.5036798722
南楼梓庄,39.8745227259,116.5013896985
欢乐谷景区,39.8666601212,116.4995116794
垡头,39.8567761115,116.5103106882
双合,39.8600860423,116.5268738988
焦化厂,39.8554570663,116.5372110134
朱辛庄,40.1044205816,116.3135562258
育知路,40.0879527956,116.3272846972
平西府,40.090001489,116.3506357021
回龙观东大街,40.0810166033,116.3632098496
霍营,40.0711846817,116.3601834531
育新,40.060442885,116.3473764706
西小口,40.0469352249,116.3516305296
永泰庄,40.0379097729,116.3545658545
林萃桥,40.0218658927,116.3724284834
森林公园南门,40.0098553377,116.3926304774
奥林匹克公园,40.0014942712,116.392299387
奥体中心,39.9860809164,116.3937803698
北土城,39.9768968655,116.3942547246
安华桥,39.9685235211,116.3942052953
安德里北街,39.9575805751,116.3944972404
什刹海,39.9378084555,116.3961678968
白堆子,39.9239541155,116.3257630421
六里桥东,39.8868647977,116.3148863459
六里桥,39.8803330092,116.3030989975
七里庄,39.8667620966,116.2940998064
丰台东大街,39.8551900187,116.293769334
丰台南路,39.8409507821,116.2964135869
科怡路,39.8324180508,116.2973782636
