=====================
station: 北京地铁1号线
from:丰台科技园, to:郭公庄, len:1347
=====================
station: 北京地铁10号线
from:巴沟, to:苏州街, len:1110
from:苏州街, to:海淀黄庄, len:950
from:海淀黄庄, to:知春里, len:975
from:知春里, to:知春路, len:1058
from:知春路, to:西土城, len:1101
from:西土城, to:牡丹园, len:1330
from:牡丹园, to:健德门, len:973
from:健德门, to:北土城, len:1100
from:北土城, to:安贞门, len:1020
from:安贞门, to:惠新西街南口, len:982
from:惠新西街南口, to:芍药居, len:1712
from:芍药居, to:太阳宫, len:1003
from:太阳宫, to:三元桥, len:1759
from:三元桥, to:亮马桥, len:1506
from:亮马桥, to:农业展览馆, len:914
from:农业展览馆, to:团结湖, len:853
from:团结湖, to:呼家楼, len:1149
from:呼家楼, to:金台夕照, len:734
from:金台夕照, to:国贸, len:835
from:国贸, to:双井, len:1759
from:双井, to:劲松, len:1006
from:劲松, to:潘家园, len:1021
from:潘家园, to:十里河, len:1097
from:十里河, to:分钟寺, len:1804
from:分钟寺, to:成寿寺, len:1058
from:成寿寺, to:宋家庄, len:1677
from:宋家庄, to:石榴庄, len:1269
from:石榴庄, to:大红门, len:1244
from:大红门, to:角门东, len:1130
from:角门东, to:角门西, len:1254
from:角门西, to:草桥, len:1688
from:草桥, to:纪家庙, len:1547
from:纪家庙, to:首经贸, len:1143
from:首经贸, to:丰台站, len:1717
from:丰台站, to:泥洼, len:954
from:泥洼, to:西局, len:749
from:西局, to:六里桥, len:1584
from:六里桥, to:莲花桥, len:2392
from:莲花桥, to:公主坟, len:1016
from:公主坟, to:西钓鱼台, len:2386
from:西钓鱼台, to:慈寿寺, len:1214
from:慈寿寺, to:车道沟, len:1590
from:车道沟, to:长春桥, len:1205
from:长春桥, to:火器营, len:961
from:火器营, to:巴沟, len:1495
=====================
station: 北京地铁13号线
from:西直门, to:大钟寺, len:2839
from:大钟寺, to:知春路, len:1206
from:知春路, to:五道口, len:1829
from:五道口, to:上地, len:4866
from:上地, to:西二旗, len:2538
from:西二旗, to:龙泽, len:3623
from:龙泽, to:回龙观, len:1423
from:回龙观, to:霍营, len:2110
from:霍营, to:立水桥, len:4785
from:立水桥, to:北苑, len:2272
from:北苑, to:望京西, len:6722
from:望京西, to:芍药居, len:2152
from:芍药居, to:光熙门, len:1110
from:光熙门, to:柳芳, len:1135
from:柳芳, to:东直门, len:1769
=====================
station: 北京地铁14号线（西段）
from:张郭庄, to:园博园, len:1345
from:园博园, to:大瓦窑, len:4073
from:大瓦窑, to:郭庄子, len:1236
from:郭庄子, to:大井, len:2044
from:大井, to:七里庄, len:1579
from:七里庄, to:西局, len:845
=====================
station: 北京地铁14号线东段（含中段）
from:北京南站, to:陶然桥, len:887
